horizon,model,rmse,mae,r2,mape_pct,train_time_sec
1,Naive,30.617581499440146,16.764359998244768,0.8658768702221475,42.42697277789338,
1,RandomForest,18.174492788243438,9.849362467152874,0.9527407839649863,27.0899275457471,29.555724143981934
3,Naive,45.46500681820124,26.011482604911723,0.7042556644831565,71.04644495799828,
3,RandomForest,36.51786730500911,21.01858455848435,0.8092024795308634,60.386319721962934,29.727793216705322
6,Naive,60.07334475378995,35.639848461575035,0.48371548744976145,106.81182227760205,
6,RandomForest,51.24661831963692,30.99747001596755,0.6242872827032812,104.06820020106483,27.944538831710815
12,Naive,75.4470118859985,46.321178078934864,0.18569073730827523,168.15741435244215,
12,RandomForest,63.68961517313291,41.6215404022824,0.41971340736409246,165.77219389384965,26.94100594520569
24,Naive,90.92859894219507,59.65665064102564,-0.1825862277370327,238.63414819300058,
24,RandomForest,73.40383580297214,51.62793248003887,0.22932844752735504,247.96099579152607,26.041308879852295
